Simulación de distribución triangular
f(x) = x-1 si 1≤x≤2, 3-x si 2<x≤3

Total de valores simulados: 200

Iteración | u | Fórmula usada | Resultado x
----------------------------------------------
001 | u=0.37454 | x = 1 + sqrt(2u) | x=1.86549
002 | u=0.95071 | x = 3 - sqrt(2(1 - u)) | x=2.68604
003 | u=0.73199 | x = 3 - sqrt(2(1 - u)) | x=2.26787
004 | u=0.59866 | x = 3 - sqrt(2(1 - u)) | x=2.10407
005 | u=0.15602 | x = 1 + sqrt(2u) | x=1.55860
006 | u=0.15599 | x = 1 + sqrt(2u) | x=1.55856
007 | u=0.05808 | x = 1 + sqrt(2u) | x=1.34083
008 | u=0.86618 | x = 3 - sqrt(2(1 - u)) | x=2.48265
009 | u=0.60112 | x = 3 - sqrt(2(1 - u)) | x=2.10682
010 | u=0.70807 | x = 3 - sqrt(2(1 - u)) | x=2.23590
011 | u=0.02058 | x = 1 + sqrt(2u) | x=1.20290
012 | u=0.96991 | x = 3 - sqrt(2(1 - u)) | x=2.75468
013 | u=0.83244 | x = 3 - sqrt(2(1 - u)) | x=2.42111
014 | u=0.21234 | x = 1 + sqrt(2u) | x=1.65167
015 | u=0.18182 | x = 1 + sqrt(2u) | x=1.60303
016 | u=0.18340 | x = 1 + sqrt(2u) | x=1.60565
017 | u=0.30424 | x = 1 + sqrt(2u) | x=1.78005
018 | u=0.52476 | x = 3 - sqrt(2(1 - u)) | x=2.02507
019 | u=0.43195 | x = 1 + sqrt(2u) | x=1.92946
020 | u=0.29123 | x = 1 + sqrt(2u) | x=1.76319
021 | u=0.61185 | x = 3 - sqrt(2(1 - u)) | x=2.11892
022 | u=0.13949 | x = 1 + sqrt(2u) | x=1.52819
023 | u=0.29214 | x = 1 + sqrt(2u) | x=1.76439
024 | u=0.36636 | x = 1 + sqrt(2u) | x=1.85599
025 | u=0.45607 | x = 1 + sqrt(2u) | x=1.95506
026 | u=0.78518 | x = 3 - sqrt(2(1 - u)) | x=2.34452
027 | u=0.19967 | x = 1 + sqrt(2u) | x=1.63194
028 | u=0.51423 | x = 3 - sqrt(2(1 - u)) | x=2.01434
029 | u=0.59241 | x = 3 - sqrt(2(1 - u)) | x=2.09713
030 | u=0.04645 | x = 1 + sqrt(2u) | x=1.30480
031 | u=0.60754 | x = 3 - sqrt(2(1 - u)) | x=2.11405
032 | u=0.17052 | x = 1 + sqrt(2u) | x=1.58399
033 | u=0.06505 | x = 1 + sqrt(2u) | x=1.36070
034 | u=0.94889 | x = 3 - sqrt(2(1 - u)) | x=2.68027
035 | u=0.96563 | x = 3 - sqrt(2(1 - u)) | x=2.73782
036 | u=0.80840 | x = 3 - sqrt(2(1 - u)) | x=2.38096
037 | u=0.30461 | x = 1 + sqrt(2u) | x=1.78053
038 | u=0.09767 | x = 1 + sqrt(2u) | x=1.44198
039 | u=0.68423 | x = 3 - sqrt(2(1 - u)) | x=2.20531
040 | u=0.44015 | x = 1 + sqrt(2u) | x=1.93825
041 | u=0.12204 | x = 1 + sqrt(2u) | x=1.49404
042 | u=0.49518 | x = 1 + sqrt(2u) | x=1.99517
043 | u=0.03439 | x = 1 + sqrt(2u) | x=1.26225
044 | u=0.90932 | x = 3 - sqrt(2(1 - u)) | x=2.57414
045 | u=0.25878 | x = 1 + sqrt(2u) | x=1.71942
046 | u=0.66252 | x = 3 - sqrt(2(1 - u)) | x=2.17844
047 | u=0.31171 | x = 1 + sqrt(2u) | x=1.78957
048 | u=0.52007 | x = 3 - sqrt(2(1 - u)) | x=2.02027
049 | u=0.54671 | x = 3 - sqrt(2(1 - u)) | x=2.04786
050 | u=0.18485 | x = 1 + sqrt(2u) | x=1.60804
051 | u=0.96958 | x = 3 - sqrt(2(1 - u)) | x=2.75336
052 | u=0.77513 | x = 3 - sqrt(2(1 - u)) | x=2.32938
053 | u=0.93950 | x = 3 - sqrt(2(1 - u)) | x=2.65215
054 | u=0.89483 | x = 3 - sqrt(2(1 - u)) | x=2.54137
055 | u=0.59790 | x = 3 - sqrt(2(1 - u)) | x=2.10323
056 | u=0.92187 | x = 3 - sqrt(2(1 - u)) | x=2.60471
057 | u=0.08849 | x = 1 + sqrt(2u) | x=1.42070
058 | u=0.19598 | x = 1 + sqrt(2u) | x=1.62607
059 | u=0.04523 | x = 1 + sqrt(2u) | x=1.30076
060 | u=0.32533 | x = 1 + sqrt(2u) | x=1.80664
061 | u=0.38868 | x = 1 + sqrt(2u) | x=1.88168
